Company,Role Title,Location,Internship Season,Posting Date,Link,Source Tracker,Keywords,Priority Score,Notes for Coffee Chat / Outreach,Status
SpaceX,GNC Engineering Intern,Hawthorne CA / Starbase TX,Fall 2026,,,job-boards.greenhouse.io/spacex,"GNC, trajectory, flight dynamics, simulation",5,Lead with Rust 6-DOF sim; mention valve dynamics + aero lookup tables. SpaceX GNC team moves fast — apply day one.,Watching
SpaceX,Propulsion Engineering Intern,McGregor TX / Hawthorne CA,Fall 2026,,,job-boards.greenhouse.io/spacex,"propulsion, feed system, combustion, valves",5,Highlight propulsion feed system design from first principles — sizing regulators/burst disks/valves under mass constraints. Exact match for their Raptor/Merlin test work.,Watching
SpaceX,Flight Reliability / Systems Engineering Intern,Hawthorne CA,Fall 2026,,,job-boards.greenhouse.io/spacex,"systems engineering, vehicle integration, simulation",5,Mention co-founder background + customer discovery. Show you understand vehicle-level tradeoffs not just component-level.,Watching
SpaceX,Flight Software Engineering Intern,Hawthorne CA,Fall 2026,,,job-boards.greenhouse.io/spacex,"flight software, simulation, controls, Python, C++",5,Mention PX4 + Gazebo experience. Emphasize comfort with hardware-software boundaries in real-time systems.,Watching
Rocket Lab,GNC / Trajectory Intern,Long Beach CA / Wallops VA,Fall 2026,,,rocketlabusa.com/careers,"GNC, trajectory, orbital mechanics, flight dynamics",5,Small team = high ownership. Lead with 6-DOF Rust sim + orbital mechanics background. Electron and Neutron are both active programs.,Watching
Rocket Lab,Propulsion Systems Intern,Long Beach CA,Fall 2026,,,rocketlabusa.com/careers,"propulsion, combustion, feed system, Rutherford engine",5,Directly relevant: Rocket Lab uses electric pump-fed engines. P&ID to hardware experience is directly applicable.,Watching
Hermeus,Propulsion / Systems Intern,Atlanta GA,Fall 2026,,,hermeus.com/careers,"propulsion, hypersonic, GNC, systems, thermal",5,YC-backed hypersonic aircraft startup. Mention propulsion feed system work + thermal analysis. Very small team — referrals help enormously.,Watching
Hermeus,GNC / Simulation Intern,Atlanta GA,Fall 2026,,,hermeus.com/careers,"GNC, flight simulation, trajectory, CFD, controls",5,Hypersonic GNC is niche — 6-DOF Rust sim is directly relevant. Show familiarity with high-speed aero regimes.,Watching
Impulse Space,Propulsion Engineering Intern,Culver City CA,Fall 2026,,,impulsespace.com/careers,"propulsion, orbital, feed system, combustion, thruster",5,Last-mile orbital delivery. Feed system design + valve sizing are core to their Mira vehicle. Very technical team.,Watching
Impulse Space,GNC / Trajectory Intern,Culver City CA,Fall 2026,,,impulsespace.com/careers,"GNC, trajectory, orbital mechanics, simulation",5,Orbital transfer vehicles need precise GNC. Mention 6-DOF sim + numerical methods background.,Watching
